sku_id,unit_price,date,order_week,weeks_demand,weekly_sales_amount
1244AA,60.0,2019-06-15,2019-06-10/2019-06-16,4072.9560597,244377.363582
1295CA,175000.0,2019-06-15,2019-06-10/2019-06-16,0.26849653100000004,46986.89292500001
1281BA,139500.0,2019-06-15,2019-06-10/2019-06-16,0.527041552,73522.296504
3205AA,76300.0,2019-06-15,2019-06-10/2019-06-16,2.017648442,153946.5761246
2117BA,2424.0,2019-06-15,2019-06-10/2019-06-16,63.03029636,152785.43837664
1193BA,815.0,2019-06-15,2019-06-10/2019-06-16,234.0,190710.0
1126CA,32.8,2019-06-15,2019-06-10/2019-06-16,1350.0,44279.99999999999
1283CA,98333.33,2019-06-15,2019-06-10/2019-06-16,1.404931705,138151.61297522765
2418CA,5.8,2019-06-15,2019-06-10/2019-06-16,28191.163447,163508.7479926
1967BA,178.65,2019-06-15,2019-06-10/2019-06-16,4003.0,715135.9500000001
2422BA,49.9,2019-06-15,2019-06-10/2019-06-16,2399.7884572000003,119749.44401428002
1116CA,32.8,2019-06-15,2019-06-10/2019-06-16,0.0,0.0
1077CA,22.9777,2019-06-15,2019-06-10/2019-06-16,15352.0,352753.6504
1083AA,29.02,2019-06-15,2019-06-10/2019-06-16,3924.0,113874.48
2565CA,463.03583,2019-06-15,2019-06-10/2019-06-16,142.4876805,65976.90140509231
2573CA,1618.99,2019-06-15,2019-06-10/2019-06-16,0.0,0.0
2473CA,5.95,2019-06-15,2019-06-10/2019-06-16,22109.150634999998,131549.44627825
1993AA,83.75125,2019-06-15,2019-06-10/2019-06-16,1186.0,99328.9825
2331CA,210.12419,2019-06-15,2019-06-10/2019-06-16,601.0,126284.63819
3007CA,18832.33,2019-06-15,2019-06-10/2019-06-16,2.5762065030000003,48515.971012642
3178CA,26000.0,2019-06-15,2019-06-10/2019-06-16,2.901677551,75443.616326
1921AA,50000.0,2019-06-15,2019-06-10/2019-06-16,1.0,50000.0
1964BA,99.12769,2019-06-15,2019-06-10/2019-06-16,0.0,0.0
1876AA,22919.0,2019-06-15,2019-06-10/2019-06-16,1.972923282,45217.428700158
1224AA,698.0,2019-06-15,2019-06-10/2019-06-16,132.0,92136.0
2317CA,37.26672,2019-06-15,2019-06-10/2019-06-16,5361.67,199811.8546224
3016BA,20005.8,2019-06-15,2019-06-10/2019-06-16,1.611778104,32244.9103930032
3098AA,3862.32,2019-06-15,2019-06-10/2019-06-16,15.097478853,58311.29452351896
2528CA,21.0,2019-06-15,2019-06-10/2019-06-16,869.7849002,18265.482904200002
2371CA,3.44,2019-06-15,2019-06-10/2019-06-16,0.0,0.0
1970CA,244.928,2019-06-15,2019-06-10/2019-06-16,0.0,0.0
2016CA,267.32395,2019-06-15,2019-06-10/2019-06-16,0.0,0.0
1990AA,545.845,2019-06-15,2019-06-10/2019-06-16,641.5,350159.5675
3079BA,134.5,2019-06-15,2019-06-10/2019-06-16,75.0,10087.5
1234BA,498.0,2019-06-15,2019-06-10/2019-06-16,25.0,12450.0
1994AA,450.53667,2019-06-15,2019-06-10/2019-06-16,115.0,51811.71705
2458CA,6.83263,2019-06-15,2019-06-10/2019-06-16,5798.0154064,39615.69400623083
1367CA,22000.0,2019-06-15,2019-06-10/2019-06-16,0.0,0.0
2564BA,309.205,2019-06-15,2019-06-10/2019-06-16,0.0,0.0
1255CA,84500.0,2019-06-15,2019-06-10/2019-06-16,0.0,0.0
1206BA,236.62475,2019-06-15,2019-06-10/2019-06-16,274.38483347,64926.24262363038
2501CA,35.12175,2019-06-15,2019-06-10/2019-06-16,403.0,14154.06525
1971AA,321.9469,2019-06-15,2019-06-10/2019-06-16,5.0,1609.7345
2847BA,241.79216,2019-06-15,2019-06-10/2019-06-16,316.0,76406.32256
1992AA,586.3916,2019-06-15,2019-06-10/2019-06-16,0.0,0.0
2021CA,295.27467,2019-06-15,2019-06-10/2019-06-16,4.0,1181.09868
2391CA,0.75915,2019-06-15,2019-06-10/2019-06-16,57263.30493,43471.437937609495
2025AA,442.805,2019-06-15,2019-06-10/2019-06-16,29.0,12841.345
2267CA,1896.44,2019-06-15,2019-06-10/2019-06-16,3.357701889,6367.68017037516
1265CA,103500.0,2019-06-15,2019-06-10/2019-06-16,0.0,0.0
1009AA,28.76326,2019-06-15,2019-06-10/2019-06-16,175.0,5033.5705
